C1-M	C1-J	P1[KpA]	C2-M	C2-J	P2[KpA]	C3-M	C3-J	P3[KpA]	C4-M	C4-J	P4[KpA]	C5-M	C5-J	P5[KpA]	C6-M	C6-J	P6[KpA]	C7-M	C7-J	P7[KpA]	C8-M	C8-J	P8[KpA]	C9-M	C9-J	P9[KpA]	C10-M	C10-J	P10[KpA]	Pin	Pout	
17.865	19.083	24.450	10.984	11.507	28.408	10.785	12.836	38.606	7.447	14.917	59.395	11.339
17.780	18.996	24.525	10.855	11.327	28.423	10.796	12.676	39.141	7.452	14.693	59.042	11.361
17.788	19.076	24.313	10.742	11.391	28.550	10.753	12.982	38.937	7.451	14.832	59.245	11.406
17.813	19.029	24.228	11.104	11.406	28.491	10.767	12.585	39.049	7.426	14.751	59.236	11.386
17.774	19.037	24.401	10.755	11.294	28.494	10.833	12.831	39.813	7.452	14.770	59.416	11.379
17.843	19.009	24.305	10.901	11.506	28.453	10.674	12.725	39.365	7.412	14.905	59.068	11.369
17.786	18.894	24.192	10.901	11.302	28.475	10.804	12.703	39.471	7.410	14.683	59.338	11.354
17.800	18.958	24.466	10.759	11.385	28.396	10.851	13.054	39.708	7.440	14.782	59.241	11.403
17.824	18.902	24.141	11.088	11.428	28.438	10.620	12.528	39.477	7.417	14.823	59.241	11.374
17.834	18.918	24.135	10.771	11.239	28.489	10.777	12.858	39.793	7.386	14.695	59.032	11.390
17.869	18.952	24.451	10.943	11.517	28.224	10.710	12.831	39.497	7.409	14.925	59.245	11.354
17.875	18.903	24.318	10.964	11.307	28.376	10.758	12.699	39.420	7.429	14.719	59.454	11.386
17.831	18.917	24.199	10.806	11.371	28.562	10.722	12.933	39.626	7.403	14.839	59.155	11.408
17.909	18.956	24.178	11.085	11.371	28.424	10.787	12.559	39.584	7.400	14.771	59.305	11.362
17.822	18.899	23.833	10.755	11.273	28.263	10.780	12.846	39.487	7.401	14.669	59.176	11.338
17.902	18.965	24.290	10.984	11.469	28.517	10.801	12.926	39.445	7.431	14.912	59.359	11.394
17.778	18.849	24.362	10.933	11.322	28.476	10.814	12.621	39.546	7.446	14.706	59.055	11.400
17.824	18.941	24.274	10.738	11.371	28.370	10.762	12.913	39.651	7.403	14.836	59.177	11.309
17.822	18.883	24.292	11.135	11.370	28.471	10.743	12.648	39.473	7.446	14.771	59.180	11.388
17.800	18.910	24.360	10.768	11.306	28.343	10.807	12.915	39.486	7.431	14.702	59.374	11.374
