C1-M	C1-J	P1	C2-M	C2-J	P2	C3-M	C3-J	C3	C4-M	C4-J	P4	C4-M	C4-J	P4	C5-M	C5-J	P5	C6-M	C6-J	P6	C7-M	C7-J	P7	C8-M	C8-J	P8	C9-M	C9-J	P9	C10-M	C10-J	P10	Pin	Pout
0.000	18.908	19.550	13.737	19.732	13.907	15.869	9.208	16.269	26.253	3.782	4.334	49.214	9.789
0.000	18.955	19.547	13.659	19.618	13.736	15.853	9.239	16.398	25.979	3.817	4.258	49.465	9.751
0.000	18.969	19.610	13.768	19.861	13.789	15.777	9.277	16.308	26.417	3.799	4.295	49.301	9.763
0.000	18.876	19.556	13.565	19.561	13.783	15.907	9.226	16.293	25.972	3.786	4.313	49.206	9.788
0.000	18.959	19.580	13.546	19.783	13.667	15.895	9.253	16.487	25.879	3.795	4.202	49.499	9.773
0.000	18.914	19.510	13.680	19.738	13.890	15.908	9.244	16.196	26.310	3.769	4.377	49.385	9.747
0.000	18.903	19.614	13.536	19.609	13.745	15.710	9.251	16.408	26.236	3.810	4.264	49.154	9.749
0.000	18.848	19.565	13.327	19.822	13.838	15.791	9.271	16.351	26.354	3.776	4.228	49.302	9.747
0.000	18.899	19.557	13.589	19.515	13.806	15.806	9.239	16.308	26.471	3.792	4.376	49.443	9.722
0.000	18.955	19.562	13.563	19.764	13.702	15.694	9.206	16.517	26.289	3.798	4.283	49.261	9.717
0.000	18.862	19.586	13.658	19.655	13.889	15.956	9.283	16.201	26.632	3.796	4.318	49.263	9.804
0.000	18.858	19.589	13.549	19.643	13.734	15.793	9.268	16.392	26.350	3.778	4.216	49.364	9.715
0.000	18.923	19.566	13.812	19.804	13.806	15.941	9.175	16.496	26.578	3.797	4.290	49.336	9.784
0.000	18.908	19.568	13.513	19.567	13.763	15.857	9.264	16.270	26.416	3.749	4.376	49.187	9.775
0.000	18.883	19.586	13.692	19.736	13.716	15.781	9.319	16.487	26.315	3.829	4.278	49.321	9.727
0.000	18.872	19.556	13.522	19.753	13.868	15.794	9.251	16.210	26.584	3.727	4.318	49.349	9.773
0.000	18.911	19.559	13.654	19.634	13.759	15.877	9.201	16.429	26.327	3.786	4.200	49.341	9.762
0.000	18.918	19.597	13.683	19.791	13.778	15.866	9.240	16.401	26.559	3.796	4.283	49.367	9.772
0.000	18.845	19.546	13.554	19.580	13.825	15.859	9.193	16.246	26.411	3.794	4.354	49.310	9.767
0.000	18.905	19.590	13.747	19.736	13.666	15.927	9.261	16.511	26.394	3.802	4.180	49.192	9.787
0.000	18.885	19.525	13.633	19.773	13.867	15.848	9.159	16.221	26.267	3.822	4.383	49.380	9.775
0.000	18.913	19.607	13.314	19.587	13.763	15.842	9.296	16.346	26.364	3.783	4.288	49.428	9.773
0.000	18.878	19.547	13.657	19.793	13.798	15.867	9.221	16.362	26.351	3.805	4.240	49.260	9.738
0.000	18.875	19.581	13.686	19.532	13.843	15.835	9.238	16.321	26.497	3.817	4.327	49.279	9.786
0.000	18.925	19.583	13.548	19.714	13.701	15.722	9.254	16.445	26.295	3.761	4.227	49.505	9.708
0.000	18.882	19.568	13.691	19.740	13.912	15.839	9.275	16.265	26.710	3.813	4.352	49.242	9.778
0.000	18.897	19.570	13.684	19.604	13.725	15.923	9.244	16.355	26.291	3.809	4.268	49.091	9.777
0.000	18.897	19.580	13.724	19.857	13.777	15.714	9.234	16.514	26.540	3.819	4.244	49.456	9.728
0.000	18.940	19.578	13.662	19.559	13.774	15.901	9.238	16.241	26.412	3.799	4.341	49.451	9.742
0.000	18.975	19.578	13.690	19.764	13.667	15.933	9.217	16.426	26.540	3.798	4.207	49.258	9.786
0.000	18.962	19.536	13.783	19.748	13.885	15.905	9.263	16.264	26.397	3.838	4.283	49.354	9.744
0.000	18.883	19.574	13.682	19.596	13.739	15.717	9.203	16.391	26.417	3.787	4.157	49.320	9.752
0.000	18.925	19.606	13.360	19.815	13.833	15.834	9.282	16.377	26.529	3.745	4.301	49.171	9.758
0.000	18.885	19.517	13.709	19.519	13.812	15.925	9.261	16.311	26.363	3.814	4.383	49.402	9.797
0.000	18.932	19.591	13.631	19.717	13.717	15.790	9.232	16.475	26.367	3.766	4.233	49.313	9.762
0.000	18.871	19.566	13.633	19.725	13.894	15.791	9.279	16.244	26.501	3.815	4.305	49.261	9.729
0.000	18.893	19.611	13.596	19.609	13.749	15.870	9.329	16.355	26.394	3.750	4.228	49.441	9.788
0.000	18.974	19.530	13.841	19.796	13.761	15.809	9.253	16.427	26.373	3.799	4.270	49.279	9.732
0.000	18.941	19.577	13.692	19.571	13.781	15.903	9.220	16.318	26.416	3.804	4.363	49.130	9.790
0.000	18.961	19.585	13.720	19.738	13.680	15.933	9.310	16.422	26.346	3.787	4.227	49.370	9.782
0.000	18.941	19.558	13.651	19.819	13.875	15.734	9.250	16.238	26.575	3.800	4.366	49.465	9.712
0.000	18.984	19.549	13.612	19.578	13.763	15.864	9.273	16.428	26.194	3.809	4.261	49.263	9.772
0.000	18.989	19.588	13.519	19.790	13.771	15.768	9.237	16.417	26.661	3.787	4.203	49.257	9.765
0.000	18.986	19.573	13.734	19.576	13.849	15.666	9.263	16.282	26.262	3.811	4.363	49.425	9.674
0.000	19.021	19.561	13.756	19.725	13.686	15.975	9.301	16.436	26.462	3.813	4.274	49.313	9.788
0.000	19.071	19.531	13.895	19.792	13.887	15.850	9.261	16.195	26.464	3.792	4.309	49.141	9.744
0.000	19.008	19.596	13.409	19.570	13.728	15.825	9.322	16.433	26.501	3.826	4.238	49.315	9.754
