C1-M	C1-J	C2-M	C2-J	C3-M	C3-J	C4-M	C4-J	C5-M	C5-J	C6-M	C6-J	C7-M	C7-J	C8-M	C8-J	C9-M	C9-J	C10-M	C10-J	P1[KpA]	P2[KpA]	P3[KpA]	P4[KpA]	P5[KpA]	P6[KpA]	P7[KpA]	P8[KpA]	P9[KpA]	P10[KpA]	Pin	Pout
18.954	19.617	4.516	16.707	13.730	8.760	6.784	16.254	12.044	3.825	4.255	4.143	9.500
18.961	19.552	4.526	16.331	13.835	8.767	6.580	16.311	11.930	3.813	4.312	4.093	9.531
18.992	19.610	4.583	16.567	13.705	8.796	6.777	16.367	11.981	3.766	4.263	4.118	9.502
18.931	19.564	4.476	16.619	13.798	8.813	6.771	16.275	11.962	3.806	4.246	4.068	9.521
18.966	19.573	4.528	16.392	13.765	8.779	6.769	16.426	12.055	3.781	4.391	4.126	9.526
19.003	19.581	4.484	16.676	13.683	8.766	6.659	16.226	11.912	3.809	4.251	4.139	9.474
18.905	19.560	4.517	16.369	13.817	8.779	6.670	16.365	12.011	3.759	4.302	4.057	9.511
18.891	19.611	4.584	16.606	13.708	8.809	6.715	16.320	12.021	3.815	4.259	4.170	9.509
18.871	19.573	4.505	16.651	13.779	8.772	6.765	16.248	12.007	3.766	4.227	4.073	9.460
18.945	19.564	4.570	16.427	13.743	8.762	6.561	16.449	12.102	3.827	4.404	4.105	9.506
18.867	19.570	4.411	16.711	13.673	8.813	6.692	16.171	12.032	3.787	4.238	4.044	9.516
18.903	19.587	4.510	16.373	13.838	8.761	6.696	16.363	12.087	3.783	4.300	4.110	9.476
18.970	19.570	4.561	16.631	13.669	8.769	6.777	16.307	12.084	3.818	4.272	4.194	9.474
18.938	19.575	4.583	16.613	13.791	8.816	6.690	16.289	12.070	3.802	4.263	4.038	9.520
18.956	19.538	4.450	16.400	13.750	8.782	6.757	16.440	12.076	3.816	4.352	4.124	9.476
18.992	19.615	4.552	16.708	13.712	8.816	6.690	16.150	12.104	3.795	4.186	4.082	9.542
18.984	19.553	4.523	16.360	13.835	8.766	6.698	16.359	12.054	3.798	4.345	4.119	9.461
18.971	19.614	4.595	16.612	13.701	8.804	6.657	16.453	12.082	3.808	4.310	4.073	9.504
18.982	19.556	4.493	16.580	13.819	8.785	6.804	16.192	12.024	3.789	4.239	4.093	9.514
19.082	19.521	4.456	16.389	13.749	8.817	6.670	16.406	12.119	3.738	4.336	4.155	9.525
19.031	19.527	4.529	16.722	13.700	8.795	6.698	16.257	11.982	3.802	4.260	4.096	9.500
18.949	19.533	4.256	16.393	13.797	8.830	6.768	16.310	12.054	3.760	4.315	4.073	9.545
19.066	19.557	4.463	16.582	13.690	8.817	6.670	16.340	12.144	3.747	4.230	4.126	9.527
19.039	19.546	4.518	16.654	13.800	8.764	6.763	16.268	12.015	3.808	4.273	4.119	9.430
19.059	19.573	4.575	16.415	13.711	8.827	6.680	16.425	12.132	3.822	4.405	4.084	9.564
19.049	19.608	4.309	16.723	13.675	8.723	6.689	16.163	12.052	3.759	4.220	4.117	9.449
19.061	19.581	4.527	16.373	13.817	8.781	6.647	16.366	12.063	3.824	4.257	4.075	9.496
19.044	19.588	4.405	16.560	13.718	8.728	6.668	16.336	12.046	3.775	4.310	4.194	9.460
18.997	19.592	4.537	16.646	13.790	8.799	6.527	16.243	12.068	3.791	4.257	4.025	9.537
19.096	19.556	4.435	16.386	13.741	8.826	6.722	16.465	12.062	3.764	4.354	4.088	9.504
19.082	19.599	4.545	16.686	13.677	8.776	6.681	16.174	12.109	3.791	4.222	4.117	9.514
19.029	19.580	4.487	16.358	13.864	8.776	6.756	16.339	12.012	3.754	4.353	4.108	9.512
19.008	19.610	4.404	16.535	13.700	8.810	6.617	16.432	12.000	3.743	4.289	4.165	9.524
19.085	19.562	4.565	16.670	13.795	8.783	6.659	16.247	11.986	3.799	4.218	4.051	9.510
19.083	19.574	4.513	16.387	13.750	8.824	6.677	16.362	12.073	3.740	4.345	4.138	9.511
19.008	19.604	4.535	16.704	13.637	8.795	6.688	16.220	12.012	3.817	4.227	4.080	9.547
19.028	19.573	4.413	16.375	13.850	8.754	6.792	16.336	12.021	3.802	4.327	4.076	9.477
19.073	19.581	4.616	16.571	13.674	8.828	6.679	16.430	12.118	3.784	4.258	4.101	9.521
19.027	19.561	4.522	16.691	13.771	8.796	6.714	16.204	11.964	3.784	4.259	4.109	9.482
19.050	19.568	4.567	16.427	13.728	8.837	6.634	16.415	12.072	3.809	4.350	4.142	9.569
19.069	19.587	4.481	16.687	13.661	8.749	6.809	16.192	11.954	3.751	4.232	4.065	9.469
19.005	19.567	4.524	16.357	13.872	8.798	6.749	16.355	12.023	3.811	4.320	4.095	9.540
18.985	19.596	4.476	16.574	13.699	8.807	6.705	16.368	12.035	3.781	4.269	4.137	9.523
18.988	19.565	4.565	16.658	13.781	8.827	6.623	16.277	11.962	3.807	4.277	4.098	9.528
19.029	19.558	4.465	16.393	13.755	8.805	6.772	16.455	11.991	3.812	4.361	4.051	9.521
19.020	19.607	4.539	16.624	13.690	8.780	6.737	16.156	12.035	3.773	4.202	4.137	9.507
18.997	19.573	4.486	16.376	13.844	8.794	6.690	16.355	11.949	3.773	4.256	4.091	9.510
19.054	19.560	4.577	16.576	13.720	8.824	6.665	16.456	11.995	3.797	4.327	4.119	9.537
19.011	19.574	4.714	16.679	13.750	8.846	6.783	16.219	12.009	3.821	4.301	4.080	9.552
18.986	19.566	4.592	16.391	13.753	8.761	6.767	16.413	11.993	3.770	4.265	4.064	9.499
18.962	19.588	4.494	16.669	13.665	8.826	6.722	16.253	11.979	3.801	4.227	4.097	9.550
18.967	19.571	4.435	16.406	13.811	8.798	6.721	16.296	11.939	3.778	4.358	4.086	9.494
18.975	19.555	4.641	16.597	13.723	8.812	6.752	16.392	12.065	3.810	4.238	4.110	9.534
18.976	19.588	4.594	16.699	13.709	8.797	6.661	16.272	11.959	3.806	4.211	4.103	9.495
18.992	19.545	4.555	16.360	13.774	8.785	6.727	16.384	12.053	3.815	4.385	4.105	9.530
18.967	19.604	4.461	16.689	13.688	8.814	6.837	16.206	11.939	3.785	4.286	4.072	9.502
18.914	19.528	4.688	16.388	13.838	8.831	6.721	16.347	12.010	3.820	4.283	4.103	9.545
19.007	19.589	4.583	16.552	13.700	8.785	6.759	16.428	12.034	3.818	4.264	4.144	9.501
18.985	19.548	4.583	16.656	13.773	8.811	6.716	16.246	11.934	3.809	4.281	4.100	9.515
18.985	19.597	4.422	16.329	13.776	8.791	6.783	16.444	11.995	3.779	4.319	4.075	9.534
18.935	19.600	4.639	16.684	13.685	8.779	6.710	16.175	12.013	3.775	4.204	4.122	9.505
18.969	19.549	4.577	16.378	13.840	8.793	6.736	16.348	11.945	3.833	4.296	4.052	9.511
18.994	19.563	4.518	16.586	13.682	8.861	6.694	16.475	12.011	3.774	4.358	4.136	9.561
18.877	19.570	4.540	16.692	13.797	8.780	6.788	16.235	11.999	3.791	4.245	4.079	9.525
18.939	19.591	4.519	16.366	13.748	8.761	6.696	16.378	11.990	3.792	4.323	4.111	9.431
18.904	19.570	4.519	16.699	13.646	8.821	6.764	16.209	12.023	3.807	4.241	4.164	9.544
18.934	19.553	4.542	16.423	13.809	8.811	6.778	16.314	11.958	3.784	4.278	4.049	9.502
18.946	19.540	4.674	16.552	13.698	8.770	6.821	16.483	12.052	3.820	4.306	4.124	9.462
18.991	19.608	4.578	16.676	13.777	8.743	6.729	16.167	11.956	3.826	4.245	4.044	9.492
18.969	19.533	4.517	16.394	13.728	8.799	6.717	16.403	12.043	3.805	4.363	4.141	9.509
18.935	19.630	4.484	16.677	13.666	8.808	6.675	16.243	11.915	3.807	4.235	4.088	9.490
18.978	19.515	4.512	16.400	13.860	8.837	6.860	16.306	12.005	3.794	4.302	4.065	9.539
19.087	19.604	4.588	16.472	13.723	8.791	6.765	16.401	12.064	3.806	4.256	4.144	9.520
19.021	19.554	4.578	16.696	13.755	8.727	6.698	16.294	11.924	3.788	4.237	4.086	9.466
19.022	19.610	4.500	16.373	13.771	8.796	6.630	16.410	11.985	3.825	4.414	4.105	9.532
19.068	19.584	4.404	16.660	13.648	8.809	6.768	16.165	12.034	3.727	4.241	4.067	9.535
19.037	19.539	4.500	16.414	13.864	8.751	6.715	16.361	11.960	3.804	4.261	4.147	9.447
19.090	19.580	4.556	16.513	13.689	8.804	6.703	16.426	11.971	3.790	4.319	4.148	9.508
19.058	19.561	4.577	16.750	13.746	8.768	6.660	16.193	11.966	3.802	4.271	4.066	9.491
19.154	19.592	4.342	16.411	13.760	8.798	6.747	16.417	12.012	3.798	4.282	4.071	9.482
19.067	19.544	4.558	16.662	13.620	8.838	6.720	16.208	11.998	3.823	4.227	4.148	9.544
19.067	19.565	4.499	16.419	13.861	8.716	6.750	16.306	11.966	3.789	4.343	4.068	9.439
19.098	19.528	4.617	16.512	13.695	8.798	6.592	16.511	12.074	3.828	4.338	4.106	9.497
19.072	19.631	4.284	16.726	13.746	8.778	6.698	16.225	11.972	3.791	4.208	4.126	9.502
19.021	19.546	4.488	16.367	13.782	8.805	6.749	16.377	12.037	3.776	4.322	4.101	9.499
19.045	19.594	4.536	16.645	13.646	8.793	6.748	16.240	11.947	3.818	4.287	4.139	9.479
19.062	19.496	4.500	16.387	13.875	8.822	6.813	16.309	12.015	3.775	4.240	4.035	9.536
19.019	19.613	4.324	16.535	13.719	8.753	6.700	16.423	12.028	3.795	4.316	4.151	9.474
18.936	19.592	4.580	16.706	13.743	8.806	6.731	16.262	11.950	3.818	4.286	4.047	9.517
19.000	19.574	4.505	16.382	13.757	8.765	6.827	16.413	11.981	3.801	4.391	4.120	9.490
19.021	19.572	4.515	16.638	13.666	8.796	6.545	16.217	12.022	3.752	4.207	4.108	9.526
18.924	19.555	4.369	16.422	13.851	8.791	6.672	16.305	11.942	3.763	4.287	4.095	9.483
19.001	19.609	4.541	16.572	13.712	8.789	6.740	16.467	12.027	3.795	4.341	4.153	9.530
19.006	19.566	4.505	16.734	13.717	8.794	6.711	16.251	11.969	3.771	4.247	4.058	9.526
19.042	19.591	4.422	16.408	13.759	8.772	6.626	16.385	11.994	3.803	4.362	4.102	9.442
18.990	19.545	4.478	16.639	13.662	8.817	6.736	16.193	12.024	3.799	4.234	4.117	9.540
19.034	19.578	4.496	16.474	13.816	8.790	6.665	16.323	11.954	3.769	4.301	4.132	9.465
19.006	19.555	4.561	16.516	13.713	8.764	6.694	16.530	12.040	3.827	4.311	4.099	9.508
18.943	19.638	4.344	16.715	13.746	8.811	6.844	16.147	11.959	3.792	4.244	4.067	9.502
18.943	19.520	4.543	16.331	13.798	8.799	6.745	16.382	12.028	3.781	4.299	4.110	9.534
19.022	19.591	4.518	16.664	13.671	8.754	6.695	16.292	11.941	3.797	4.265	4.132	9.451
18.952	19.558	4.573	16.442	13.840	8.804	6.568	16.261	12.014	3.833	4.320	4.066	9.546
